date,open,high,low,close,volume,quote_volume,taker_buy_quote_volume
2026-07-05 01:00:00,69.35,69.375,68.67,69.011,434731.26,29969260.6297,11704037.82295
2026-07-05 02:00:00,69.01,69.017,68.3,68.634,385329.51,26413295.86826,10935046.29246
2026-07-05 03:00:00,68.634,68.76,68.374,68.673,157254.76,10790516.24407,5402539.9712
2026-07-05 04:00:00,68.673,69.358,68.671,68.785,292046.27,20153282.21158,10952551.09794
2026-07-05 05:00:00,68.784,68.8,68.222,68.519,268170.23,18362218.22286,7453628.51544
2026-07-05 06:00:00,68.519,68.739,68.358,68.611,168267.33,11540497.50894,5892052.80535
2026-07-05 07:00:00,68.612,68.718,68.356,68.682,145885.48,9998171.98007,5756842.76019
2026-07-05 08:00:00,68.681,68.943,68.47,68.886,204062.32,14019591.69521,8196088.69421
2026-07-05 09:00:00,68.887,68.95,68.302,68.463,236957.61,16258386.24534,6806029.96245
2026-07-05 10:00:00,68.462,69.111,68.38,68.973,205810.03,14171230.07575,8566244.41936
2026-07-05 11:00:00,68.973,69.048,68.521,68.893,215604.14,14833296.46963,7752180.33599
2026-07-05 12:00:00,68.894,69.486,68.692,69.189,277917.14,19231942.5729,11848668.73347
2026-07-05 13:00:00,69.189,69.575,69.078,69.281,188951.1,13090261.47023,6238040.91181
2026-07-05 14:00:00,69.28,69.485,69.006,69.438,153583.09,10628940.21209,5299645.38252
2026-07-05 15:00:00,69.438,69.866,69.346,69.537,250103.59,17412941.33426,10754791.46449
2026-07-05 16:00:00,69.537,69.554,69.17,69.391,123239.01,8546628.84019,3620846.05141
2026-07-05 17:00:00,69.391,69.518,69.16,69.262,113617.26,7874992.92787,3774242.92424
2026-07-05 18:00:00,69.262,69.435,69.124,69.274,71217.06,4934745.82926,2466542.64645
2026-07-05 19:00:00,69.274,69.969,69.227,69.805,173448.86,12089518.20925,7240608.13811
2026-07-05 20:00:00,69.806,70.92,69.759,70.918,397788.3,27988349.75588,16116866.82298
2026-07-05 21:00:00,70.917,71.339,70.468,71.02,347378.19,24647288.1756,11684686.01755
2026-07-05 22:00:00,71.019,71.719,70.857,71.545,439339.79,31375567.7151,16565369.38721
2026-07-05 23:00:00,71.545,71.6,71.036,71.364,256160.46,18244898.26432,9151225.04991
2026-07-06 00:00:00,71.364,72.599,71.142,72.491,951317.41,68476724.66879,36736479.05768
2026-07-06 01:00:00,72.49,72.71,71.727,71.851,381374.06,27533323.39217,13506202.84708
2026-07-06 02:00:00,71.852,72.388,71.55,72.256,346317.32,24929857.87413,12002986.42264
2026-07-06 03:00:00,72.256,72.439,71.339,71.634,348180.92,24989944.5194,9708362.20581
2026-07-06 04:00:00,71.632,71.793,71.182,71.611,225753.13,16141807.8376,8351856.01467
2026-07-06 05:00:00,71.611,71.766,70.69,70.77,351021.95,24939189.08079,12141118.33984
2026-07-06 06:00:00,70.771,71.271,70.675,71.176,229226.64,16266053.83595,9256142.19291
2026-07-06 07:00:00,71.176,71.257,70.782,70.851,243431.24,17283106.20691,9238813.29009
2026-07-06 08:00:00,70.85,71.108,69.939,70.33,524747.48,36926237.31019,15971774.49201
2026-07-06 09:00:00,70.33,70.384,69.704,69.991,283827.2,19874194.44242,8297245.18859
2026-07-06 10:00:00,69.992,70.628,69.988,70.438,282703.67,19901935.22375,10433685.06387
2026-07-06 11:00:00,70.439,71.016,69.946,70.025,306289.99,21625621.57108,10222474.51916
2026-07-06 12:00:00,70.025,70.092,69.03,69.118,958908.68,66679883.39763,28998311.50646
2026-07-06 13:00:00,69.118,70.0,68.562,69.672,879140.57,60773870.59495,30136310.88739
2026-07-06 14:00:00,69.667,70.343,69.471,69.835,400854.48,27978291.56061,14078278.90424
2026-07-06 15:00:00,69.835,70.853,69.825,70.725,502215.72,35354485.90641,17770136.83554
2026-07-06 16:00:00,70.726,71.323,70.681,71.293,532406.89,37817935.67066,20311116.99909
2026-07-06 17:00:00,71.292,71.568,70.973,71.085,336119.44,23968921.47694,13270011.34787
2026-07-06 18:00:00,71.087,71.625,71.052,71.227,213702.55,15252054.26063,8017637.47111
2026-07-06 19:00:00,71.227,71.734,71.124,71.595,241142.8,17243066.19873,9157858.21817
2026-07-06 20:00:00,71.593,71.617,70.807,70.922,291924.07,20730137.70944,10391385.60152
2026-07-06 21:00:00,70.922,71.771,70.827,71.597,298465.16,21319036.80172,10830526.1113
2026-07-06 22:00:00,71.597,71.625,70.941,71.106,198581.63,14159215.07225,5475145.50984
2026-07-06 23:00:00,71.105,71.133,70.516,70.608,231678.72,16395900.46709,7135933.28465
2026-07-07 00:00:00,70.609,72.056,70.404,71.972,477861.62,34090970.74382,19558633.26976
